495 kHz	505 kHz
535  kHz	1606.5 kHz
325 kHz	405 kHz
405 kHz	415 kHz
415 kHz	495 kHz
415 kHz	495 kHz
1800 kHz	2000 kHz
2000 kHz	2065 kHz
2065 kHz	2107 kHz
2170  kHz	2173.5 kHz
2173.5 kHz 	2190.5 kHz
2190.5 kHz	2194 kHz
2194 kHz	2300 kHz
2300 kHz	2495 kHz
2495 kHz	2501 kHz
2501 kHz	2502 kHz
2501 kHz	2502 kHz
2502 kHz	2505 kHz
2505 kHz	2850 kHz
2850 kHz	3025 kHz
3025 kHz	3155 kHz
3155 kHz	3200 kHz
3200 kHz	3230 kHz
3230 kHz	3400 kHz
3400 kHz	3500 kHz
3500 kHz	3900 kHz
3900 kHz	3950 kHz
3950 kHz	4000 kHz
4000 kHz	4063 kHz
4650 kHz	4700 kHz
4700 kHz	4750 kHz
4750 kHz	4850 kHz
5480 kHz	5680 kHz
4063 kHz	4438 kHz
4438 kHz	4650 kHz
4850 kHz	4995 kHz
4995 kHz	5003 kHz
5005 kHz	5060 kHz
5005 kHz	5060 kHz
5060 kHz	5250 kHz
5250 kHz	5450 kHz
5450 kHz	5480 kHz
5680 kHz	5730 kHz
5730 kHz	5900 kHz
5950 kHz	6200 kHz
6200 kHz	6525 kHz
6525 kHz	6685 kHz
6685 kHz	6765 kHz
6765 kHz	7000 kHz
7000 kHz	7100 kHz
7100 kHz	7200 kHz
7450 kHz	8100 kHz
8100 kHz	8195 kHz
8195 kHz	8815 kHz
8815 kHz	8965 kHz
8965 kHz	9040 kHz
9040 kHz	9400 kHz
9900 kHz	9995 kHz
9995 kHz	10.005 Mhz
9995 MHz	10.005 Mhz
10.005 MHz	10.100 MHz
10.150 MHz	11.175 MHz
11.175 MHz	11.275 MHz
11.275 MHz	11.400 MHz
12.230 MHz	13.200 MHz
13.200 MHz	13.260 MHz
13.260 MHz	13.360 MHz
15.010 MHz	15.100 MHz
16.360 MHz	17.410 MHz
17.900 MHz	17.970 MHz
17.970 MHz	18.030 MHz
18.068 MHz	18.168 MHz
18.780 MHz	18.900 MHz
19.680 MHz	19.800 MHz
20.010 MHz	21.000 MHz
21.000 MHz	21.450 MHz
21.924 MHz	22.000 MHz
22.000 MHz	22.855 MHz
22.855 MHz	23.000 MHz
24.000 MHz	24.890 MHz
24.890 MHz	24.990 MHz
24.990 MHz	25.005 MHz
25.005 MHz	25.010 MHz
25.010 MHz	25.070 MHz
25.070 MHz	25.210 MHz
25.210 MHz	25.550 MHz
25.550 MHz	25.670 MHz
25670 MHz	26100 MHz
26.100 MHz	26.175 MHz
26.175 MHz	27.500 MHz
27.500 MHz	28.000 MHz
28.000 MHz	29.700 MHz
29.700 MHz	30.005 MHz
44 MHz	47 MHz
50 MHz	54 MHz
68 MHz	74.8 MHz
74.8 MHz	75.2 MHz
88 MHz	108 MHz
108 MHz	117.975 MHz
75.2 MHz	75.4 MHz
75.4 MHz	87MHz
117.975 MHz	137 MHz
138 MHz	144 MHz
144 MHz	146 MHz
146 MHz	148 MHz
156.8375 MHz	174 MHz
174 MHz	229.5 MHz
273 MHz	312 MHz
335.4 MHz	387 MHz
387 MHz	390 MHz
312 MHz	315 MHz
315 MHz	322 MHz
322 MHz	328.6 MHz
328.6 MHz	335.4 MHz
390 MHz	399.9 MHz
399.9 MHz	400.05 MHz
400.05 MHz	400.15 MHz
400.15 MHz	401 MHz
1559 MHz	1610 MHz
1610 MHz	1610.6 MHz
1610.6 MHz	1613.8 MHz
1613.8 MHz	1626.5 MHz
1626.5 MHz	1660 MHz
1660 MHz	1660.5 MHz
1660.5 MHz	1668 MHz
4400 MHz	4500 MHz
4500 MHz	4800 MHz
4800 MHz	4990 MHz
4990 MHz	5000 MHz
5000 MHz	5010 MHz
5010 MHz	5030 MHz
5030 MHz	5150 MHz
5150 MHz	5250 MHz
10 GHz	10.45 GHz
10.5 GHz	10.55 GHz
10.55 GHz	10.6 GHz
10.6 GHz	10.68 GHz
10.68 GHz	10.7 GHz
10.7 GHz	11.7 GHz
11.7 GHz	12.2 GHz
12.2 GHz	12.5 GHz
12.5 GHz	12.75 GHz
12.75 GHz	13.25 GHz
13.25 GHz	13.4 GHz
13.4 GHz	13.75 GHz
14.4 GHz	14.7 GHz
14.47 GHz	14.5 GHz
14.5 GHz	14.8 GHz
14.8 GHz	15.35 GHz
17.7 GHz	18.1 GHz
18.6 GHz	18.8 GHz
18.8 GHz	19.3 GHz
19.3 GHz	19.7 GHz
19.7 GHz	20.1 GHz
20.1 GHz	20.2 GHz
20.2 GHz	21.2 GHz
21.2 GHz	21.4 GHz
21.4 GHz	22.0 GHz
22.0 GHz	22.21 GHz
22.21 GHz	22.5 GHz
22.5 GHz	22.55 GHz
22.55 GHz	23.55 GHz
23.55 GHz	23.6 GHz
23.6 GHz	24 GHz
24 GHz	24.05 GHz
24.05 GHz	24.25 GHz
24.25 GHz	24.45 GHz
24.45 GHz	24.65 GHz
24.65 GHz	24.75 GHz
24.75 GHz	25.25 GHz
25.25 GHz	25.5 GHz
37 GHz	39.5 GHz
39.5 GHz	40 GHz
37.058 GHz	38.178 GHz
38.248 GHz	39.438 GHz
40 GHz	40.5 GHz
40.5 GHz	41 GHz
41 GHz	42.5 GHz
42.5 GHz	43.5 GHz
50.4 GHz	51.4 GHz
51.4 GHz	52.6 GHz
57 GHz	58.2 GHz

